Simulation Results for Regression Slope Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,b,,,,,,,,,b,,,,,,,,,b,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
OLSE,2,0,0,0,1,2,2,1,Theils,2.001,0,0.001,0,1.01,2.001,2.001,1,OLSE,8.80E+12,2.80E+12,8.80E+12,1.20E+30,1.00E+00,-8.70E+13,1.10E+14,1,OLSE,1.90E+17,6.20E+16,1.90E+17,5.80E+38,1,-1.90E+18,2.30E+18,1
Bayesian,2,0,0,0,1,2,2,1,LTS,2.001,0,0.001,0,1.661,2.001,2.001,1,Bayesian,8.80E+12,2.80E+12,8.80E+12,1.20E+30,1,-8.70E+13,1.10E+14,1,Bayesian,1.90E+17,6.20E+16,1.90E+17,5.80E+38,1,-1.90E+18,2.30E+18,1
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1
Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1
OLSE,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,OLSE,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,OLSE,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,OLSE,1.982,0.013,-0.018,26.465,1,1.53,2.434,1
Bayesian,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,Bayesian,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,Bayesian,1.982,0.013,-0.018,26.465,1,1.53,2.434,1,Bayesian,1.982,0.013,-0.018,26.465,1,1.53,2.434,1
n = 1000,STANDARD MODEL,,,,,,,,n = 1000,CONTAMINATIONS MODEL,,,,,,,,n = 1000,OUTLIERS MODEL,,,,,,,,n = 1000,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,2,0,0,0,0,2,2,1,Theils,2.002,0,0.002,0,0.693,2.002,2.002,1,Theils,2,0,0,0,0.123,2,2,1,Theils,2.002,0,0.002,0,0.054,2.002,2.002,1
LTS,2,0,0,0,0,2,2,1,LTS,2.002,0,0.002,0,0.739,2.002,2.002,1,LTS,2,0,0,0,0.178,2,2,1,LTS,2.004,0,0.004,0,0.188,2.004,2.004,1
Theils,2,0,0,0,0,2,2,1,OLSE,2.002,0,0.002,0,1,2.002,2.002,1,OLSE,2,0,0,0,1,2,2,1,OLSE,2.01,0,0.01,0,1,2.01,2.01,1
Bayesian,2,0,0,0,0,2,2,1,Bayesian,2.002,0,0.002,0,1,2.002,2.002,1,Bayesian,2,0,0,0,1,2,2,1,Bayesian,2.01,0,0.01,0,1,2.01,2.01,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
OLSE,2,0,0,0,0,2,2,1,OLSE,2,0,0,0,1,2,2,1,Theils,2,0,0,0,0,2,2,1,Theils,2.002,0,0.002,0,0,2.002,2.002,1
LTS,2,0,0,0,0,2,2,1,Bayesian,2,0,0,0,1,2,2,1,LTS,2.00E+07,1.20E+07,2.00E+07,2.30E+19,0,-2.80E+08,3.20E+08,1,LTS,4.30E+11,2.70E+11,4.30E+11,1.10E+28,0,-6.20E+12,7.00E+12,1
Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,1.242,2,2,1,OLSE,7.40E+12,2.30E+12,7.40E+12,7.60E+29,1,-4.70E+13,6.10E+13,1,OLSE,1.60E+17,5.00E+16,1.60E+17,3.70E+38,1,-1.00E+18,1.40E+18,1
Bayesian,2,0,0,0,0,2,2,1,LTS,2.001,0,0.001,0,2.091,2.001,2.001,1,Bayesian,7.40E+12,2.30E+12,7.40E+12,7.60E+29,1,-4.70E+13,6.10E+13,1,Bayesian,1.60E+17,5.00E+16,1.60E+17,3.70E+38,1,-1.00E+18,1.40E+18,1
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1,LTS,2,0,0,0,0,2,2,1
Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1,Theils,2,0,0,0,0,2,2,1
OLSE,1.985,0.022,-0.015,69.504,1,1.468,2.502,1,OLSE,1.985,0.022,-0.015,69.504,1,1.468,2.502,1,OLSE,1.985,0.022,-0.015,69.504,1,1.468,2.502,1,OLSE,1.985,0.022,-0.015,69.504,1,1.468,2.502,1
Bayesian,1.985,0.022,-0.015,69.504,69.504,1.468,2.502,1,Bayesian,1.985,0.022,-0.015,69.504,1,1.468,2.502,1,Bayesian,1.985,0.022,-0.015,69.504,1,1.468,2.502,1,Bayesian,1.985,0.022,-0.015,69.504,1,1.468,2.502,1
