Simulation Results for Regression Intercept Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,a,,,,,,,,,a,,,,,,,,,a,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Theils,5.001,0.007,0.001,7.418,0,4.761,5.24,1,Theils,5.001,0.007,0.001,7.418,0,4.761,5.24,1,Theils,5.001,0.007,0.001,7.418,0,4.761,5.24,1,Theils,5.001,0.007,0.001,7.418,0,4.761,5.24,1
Bayesian,6.874,4.15,1.874,2.60E+06,1,-134.355,148.104,0.695,Bayesian,6.874,4.15,1.874,2.60E+06,0.999,-134.355,148.104,0.695,Bayesian,6.874,4.15,1.874,2.60E+06,1,-134.355,148.104,0.695,Bayesian,6.874,4.15,1.874,2.60E+06,1,-134.355,148.104,0.695
OLSE,7.881,4.153,2.881,2.60E+06,1,-133.444,149.207,0.599,OLSE,7.881,4.153,2.881,2.60E+06,1,-133.444,149.207,0.599,OLSE,7.881,4.153,2.881,2.60E+06,1,-133.444,149.207,0.599,OLSE,7.881,4.153,2.881,2.60E+06,1,-133.444,149.207,0.599
n = 1000,STANDARD MODEL,,,,,,,,n = 1000,CONTAMINATIONS MODEL,,,,,,,,n = 1000,OUTLIERS MODEL,,,,,,,,n = 1000,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,5,0,0,0.004,1,4.996,5.004,1,LTS,4.523,0,-0.477,0.233,0.73,4.518,4.527,1,LTS,5,0,0,0.011,0.2,4.993,5.006,1,LTS,3.847,0,-1.153,1.353,0.2,3.838,3.857,1
LTS,5,0,0,0.005,1.4,4.995,5.005,1,OLSE,4.439,0,-0.561,0.319,1,4.435,4.443,1,OLSE,5,0.001,0,0.045,1,4.986,5.013,1,Theils,3.884,0.002,-1.116,1.703,0.2,3.842,3.926,1
Theils,4.999,0.002,-0.001,0.449,112.1,4.958,5.041,1,Theils,4.199,0.002,-0.801,1.089,3.414,4.158,4.241,1,Theils,4.999,0.002,-0.001,0.458,10.1,4.957,5.041,1,OLSE,2.195,0.001,-2.805,7.914,1,2.182,2.208,1
Bayesian,3.995,0,-1.005,1.014,253.5,3.991,3.999,1,Bayesian,3.434,0,-1.566,2.458,7.702,3.429,3.438,1,Bayesian,3.995,0.001,-1.005,1.056,23.3,3.981,4.008,1,Bayesian,1.188,0.001,-3.812,14.578,1.8,1.175,1.201,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.642,0,0.642,0.431,0.2,5.633,5.65,0.986,Bayesian,5.543,0,0.543,0.313,0.129,5.535,5.551,0.997,Theils,6.642,0.003,1.642,3.724,0,6.579,6.705,1,Theils,5.564,0.003,0.564,1.357,0,5.501,5.627,1
LTS,6.119,0,1.119,1.266,0.5,6.112,6.126,0.421,LTS,5.961,0,0.961,0.932,0.385,5.956,5.967,0.893,LTS,-5.80E+09,3.70E+09,-5.80E+09,2.10E+24,0,-9.60E+10,8.40E+10,0.994,LTS,-1.30E+14,8.20E+13,-1.30E+14,1.00E+33,0,-2.10E+15,1.90E+15,0.994
